estrutura,n,removidos,repeticoes,avg_tempo_ms,std_tempo_ms,avg_rot_esq,std_rot_esq,avg_rot_dir,std_rot_dir,avg_altura,std_altura
AVL,100000,-1,5,14.0,0.0,36719.0,0.0,36742.0,0.0,20.0,0.0
Rubro-Negra,100000,-1,5,12.2,0.7483314773547883,30798.0,0.0,30643.0,0.0,20.0,0.0
