estrutura,n,repeticoes,avg_tempo_ms,std_tempo_ms,avg_rot_esq,std_rot_esq,avg_rot_dir,std_rot_dir
AVL,100000,5,97.0,3.286335345030997,34750.0,0.0,34831.0,0.0
Rubro-Negra,100000,5,65.0,6.44980619863884,29023.0,0.0,29079.0,0.0
